cluster	cv1_min	cv2_min	G_min_kJ_mol	depth_kJ_mol	n_frames	population_fraction	rep_frame	rep_cv1	rep_cv2	rep_energy_kJ_mol	area_cells
1	58.180795	7.578243	0.000000	3.816261	36447	0.705763	10711	58.193595	7.589314	0.000000	388
2	40.777336	5.785515	2.405719	1.410541	5201	0.100713	13367	41.085368	5.798814	2.390686	60
3	88.407855	11.761274	4.297199	1.589959	9263	0.179370	4364	88.902299	11.898768	4.259273	548
4	114.971030	22.218852	13.773423	inf	164	0.003176	23523	115.555263	22.276615	13.767297	92
5	109.475200	32.975218	13.924920	2.095424	98	0.001898	23786	109.198248	32.988126	13.901424	51
6	116.802973	31.780066	14.588783	1.431561	43	0.000833	23704	116.557619	31.602580	14.591822	27
